in s,C2 in V
-4.9985820E-01,1.85254E+00
-4.9981200E-01,1.84277E+00
-4.9976580E-01,1.86230E+00
-4.9971960E-01,1.81348E+00
-4.9967340E-01,1.85254E+00
-4.9962720E-01,1.81348E+00
-4.9958100E-01,1.81348E+00
-4.9953480E-01,1.86230E+00
-4.9948860E-01,1.85254E+00
-4.9944240E-01,1.82324E+00
-4.9939620E-01,1.82324E+00
-4.9935000E-01,1.82324E+00
-4.9930380E-01,1.82324E+00
-4.9925760E-01,1.84277E+00
-4.9921140E-01,1.81348E+00
-4.9916520E-01,1.85254E+00
-4.9911900E-01,1.84277E+00
-4.9907280E-01,1.81348E+00
-4.9902660E-01,1.85254E+00
-4.9898040E-01,1.82324E+00
-4.9893420E-01,1.87207E+00
-4.9888800E-01,1.82324E+00
-4.9884180E-01,1.86230E+00
-4.9879560E-01,1.83301E+00
-4.9874940E-01,1.85254E+00
-4.9870320E-01,1.82324E+00
-4.9865700E-01,1.83301E+00
-4.9861080E-01,1.83301E+00
-4.9856460E-01,1.84277E+00
-4.9851840E-01,1.82324E+00
-4.9847220E-01,1.83301E+00
-4.9842600E-01,1.81348E+00
-4.9837980E-01,1.86230E+00
-4.9833360E-01,1.82324E+00
-4.9828740E-01,1.87207E+00
-4.9824120E-01,1.81348E+00
-4.9819500E-01,1.83301E+00
-4.9814880E-01,1.84277E+00
-4.9810260E-01,1.84277E+00
-4.9805640E-01,1.82324E+00
-4.9801020E-01,1.80371E+00
-4.9796400E-01,1.84277E+00
-4.9791780E-01,1.82324E+00
-4.9787160E-01,1.82324E+00
-4.9782540E-01,1.83301E+00
-4.9777920E-01,1.85254E+00
-4.9773300E-01,1.84277E+00
-4.9768680E-01,1.81348E+00
-4.9764060E-01,1.84277E+00
-4.9759440E-01,1.81348E+00
-4.9754820E-01,1.81348E+00
-4.9750200E-01,1.86230E+00
-4.9745580E-01,1.85254E+00
-4.9740960E-01,1.81348E+00
-4.9736340E-01,1.83301E+00
-4.9731720E-01,1.84277E+00
-4.9727100E-01,1.84277E+00
-4.9722480E-01,1.81348E+00
-4.9717860E-01,1.87207E+00
-4.9713240E-01,1.82324E+00
-4.9708620E-01,1.85254E+00
-4.9704000E-01,1.81348E+00
-4.9699380E-01,1.84277E+00
-4.9694760E-01,1.82324E+00
-4.9690140E-01,1.89160E+00
-4.9685520E-01,1.85254E+00
-4.9680900E-01,1.85254E+00
-4.9676280E-01,1.84277E+00
-4.9671660E-01,1.85254E+00
-4.9667040E-01,1.84277E+00
-4.9662420E-01,1.84277E+00
-4.9657800E-01,1.85254E+00
-4.9653180E-01,1.86230E+00
-4.9648560E-01,1.80371E+00
-4.9643940E-01,1.86230E+00
-4.9639320E-01,1.79395E+00
-4.9634700E-01,1.81348E+00
-4.9630080E-01,1.82324E+00
-4.9625460E-01,1.83301E+00
-4.9620840E-01,1.84277E+00
-4.9616220E-01,1.85254E+00
-4.9611600E-01,1.81348E+00
-4.9606980E-01,1.83301E+00
-4.9602360E-01,1.82324E+00
-4.9597740E-01,1.85254E+00
-4.9593120E-01,1.82324E+00
-4.9588500E-01,1.85254E+00
-4.9583880E-01,1.85254E+00
-4.9579260E-01,1.81348E+00
-4.9574640E-01,1.83301E+00
-4.9570020E-01,1.84277E+00
-4.9565400E-01,1.85254E+00
-4.9560780E-01,1.82324E+00
-4.9556160E-01,1.84277E+00
-4.9551540E-01,1.85254E+00
-4.9546920E-01,1.85254E+00
-4.9542300E-01,1.86230E+00
-4.9537680E-01,1.83301E+00
-4.9533060E-01,1.85254E+00
-4.9528440E-01,1.81348E+00
-4.9523820E-01,1.85254E+00
-4.9519200E-01,1.83301E+00
-4.9514580E-01,1.86230E+00
-4.9509960E-01,1.82324E+00
-4.9505340E-01,1.86230E+00
-4.9500720E-01,1.85254E+00
-4.9496100E-01,1.86230E+00
-4.9491480E-01,1.83301E+00
-4.9486860E-01,1.84277E+00
-4.9482240E-01,1.82324E+00
-4.9477620E-01,1.83301E+00
-4.9473000E-01,1.82324E+00
-4.9468380E-01,1.83301E+00
-4.9463760E-01,1.85254E+00
-4.9459140E-01,1.84277E+00
-4.9454520E-01,1.85254E+00
-4.9449900E-01,1.84277E+00
-4.9445280E-01,1.82324E+00
-4.9440660E-01,1.83301E+00
-4.9436040E-01,1.82324E+00
-4.9431420E-01,1.84277E+00
-4.9426800E-01,1.82324E+00
-4.9422180E-01,1.85254E+00
-4.9417560E-01,1.82324E+00
-4.9412940E-01,1.89160E+00
-4.9408320E-01,1.85254E+00
-4.9403700E-01,1.82324E+00
-4.9399080E-01,1.84277E+00
-4.9394460E-01,1.87207E+00
-4.9389840E-01,1.80371E+00
-4.9385220E-01,1.87207E+00
-4.9380600E-01,1.84277E+00
-4.9375980E-01,1.84277E+00
-4.9371360E-01,1.82324E+00
-4.9366740E-01,1.86230E+00
-4.9362120E-01,1.81348E+00
-4.9357500E-01,1.85254E+00
-4.9352880E-01,1.84277E+00
-4.9348260E-01,1.83301E+00
-4.9343640E-01,1.85254E+00
-4.9339020E-01,1.83301E+00
-4.9334400E-01,1.84277E+00
-4.9329780E-01,1.86230E+00
-4.9325160E-01,1.83301E+00
-4.9320540E-01,1.89160E+00
-4.9315920E-01,1.78418E+00
-4.9311300E-01,1.84277E+00
-4.9306680E-01,1.82324E+00
-4.9302060E-01,1.83301E+00
-4.9297440E-01,1.82324E+00
-4.9292820E-01,1.82324E+00
-4.9288200E-01,1.85254E+00
-4.9283580E-01,1.84277E+00
-4.9278960E-01,1.85254E+00
-4.9274340E-01,1.83301E+00
-4.9269720E-01,1.82324E+00
-4.9265100E-01,1.85254E+00
-4.9260480E-01,1.83301E+00
-4.9255860E-01,1.87207E+00
-4.9251240E-01,1.81348E+00
-4.9246620E-01,1.84277E+00
-4.9242000E-01,1.80371E+00
-4.9237380E-01,1.83301E+00
-4.9232760E-01,1.82324E+00
-4.9228140E-01,1.84277E+00
-4.9223520E-01,1.87207E+00
-4.9218900E-01,1.85254E+00
-4.9214280E-01,1.85254E+00
-4.9209660E-01,1.86230E+00
-4.9205040E-01,1.81348E+00
-4.9200420E-01,1.87207E+00
-4.9195800E-01,1.85254E+00
-4.9191180E-01,1.83301E+00
-4.9186560E-01,1.82324E+00
-4.9181940E-01,1.83301E+00
-4.9177320E-01,1.88184E+00
-4.9172700E-01,1.82324E+00
-4.9168080E-01,1.83301E+00
-4.9163460E-01,1.85254E+00
-4.9158840E-01,1.80371E+00
-4.9154220E-01,1.85254E+00
-4.9149600E-01,1.82324E+00
-4.9144980E-01,1.84277E+00
-4.9140360E-01,1.82324E+00
-4.9135740E-01,1.89160E+00
-4.9131120E-01,1.82324E+00
-4.9126500E-01,1.85254E+00
-4.9121880E-01,1.84277E+00
-4.9117260E-01,1.84277E+00
-4.9112640E-01,1.82324E+00
-4.9108020E-01,1.85254E+00
-4.9103400E-01,1.83301E+00
-4.9098780E-01,1.85254E+00
-4.9094160E-01,1.83301E+00
-4.9089540E-01,1.82324E+00
-4.9084920E-01,1.82324E+00
-4.9080300E-01,1.85254E+00
-4.9075680E-01,1.80371E+00
-4.9071060E-01,1.85254E+00
-4.9066440E-01,1.81348E+00
-4.9061820E-01,1.84277E+00
-4.9057200E-01,1.82324E+00
-4.9052580E-01,1.89160E+00
-4.9047960E-01,1.84277E+00
-4.9043340E-01,1.86230E+00
-4.9038720E-01,1.82324E+00
-4.9034100E-01,1.84277E+00
-4.9029480E-01,1.82324E+00
-4.9024860E-01,1.88184E+00
-4.9020240E-01,1.82324E+00
-4.9015620E-01,1.83301E+00
-4.9011000E-01,1.82324E+00
-4.9006380E-01,1.85254E+00
-4.9001760E-01,1.86230E+00
-4.8997140E-01,1.82324E+00
-4.8992520E-01,1.81348E+00
-4.8987900E-01,1.84277E+00
-4.8983280E-01,1.83301E+00
-4.8978660E-01,1.81348E+00
-4.8974040E-01,1.85254E+00
-4.8969420E-01,1.88184E+00
-4.8964800E-01,1.81348E+00
-4.8960180E-01,1.85254E+00
-4.8955560E-01,1.84277E+00
-4.8950940E-01,1.83301E+00
-4.8946320E-01,1.82324E+00
-4.8941700E-01,1.86230E+00
-4.8937080E-01,1.81348E+00
-4.8932460E-01,1.87207E+00
-4.8927840E-01,1.85254E+00
-4.8923220E-01,1.84277E+00
-4.8918600E-01,1.81348E+00
-4.8913980E-01,1.82324E+00
-4.8909360E-01,1.83301E+00
-4.8904740E-01,1.84277E+00
-4.8900120E-01,1.81348E+00
-4.8895500E-01,1.84277E+00
-4.8890880E-01,1.83301E+00
-4.8886260E-01,1.82324E+00
-4.8881640E-01,1.83301E+00
-4.8877020E-01,1.85254E+00
-4.8872400E-01,1.83301E+00
-4.8867780E-01,1.83301E+00
-4.8863160E-01,1.83301E+00
-4.8858540E-01,1.85254E+00
-4.8853920E-01,1.82324E+00
-4.8849300E-01,1.86230E+00
-4.8844680E-01,1.84277E+00
-4.8840060E-01,1.83301E+00
-4.8835440E-01,1.84277E+00
-4.8830820E-01,1.86230E+00
-4.8826200E-01,1.85254E+00
-4.8821580E-01,1.85254E+00
-4.8816960E-01,1.82324E+00
-4.8812340E-01,1.82324E+00
-4.8807720E-01,1.81348E+00
-4.8803100E-01,1.86230E+00
-4.8798480E-01,1.82324E+00
-4.8793860E-01,1.87207E+00
-4.8789240E-01,1.85254E+00
-4.8784620E-01,1.84277E+00
-4.8780000E-01,1.78418E+00
-4.8775380E-01,1.83301E+00
-4.8770760E-01,1.84277E+00
-4.8766140E-01,1.85254E+00
-4.8761520E-01,1.85254E+00
-4.8756900E-01,1.86230E+00
-4.8752280E-01,1.81348E+00
-4.8747660E-01,1.85254E+00
-4.8743040E-01,1.84277E+00
-4.8738420E-01,1.86230E+00
