in s,C2 in V
-1.9667232E-01,1.00586E+00
-1.9665384E-01,9.47266E-01
-1.9663536E-01,1.04492E+00
-1.9661688E-01,9.66797E-01
-1.9659840E-01,1.02539E+00
-1.9657992E-01,9.86328E-01
-1.9656144E-01,9.66797E-01
-1.9654296E-01,9.86328E-01
-1.9652448E-01,9.66797E-01
-1.9650600E-01,9.47266E-01
-1.9648752E-01,1.02539E+00
-1.9646904E-01,9.27734E-01
-1.9645056E-01,1.06445E+00
-1.9643208E-01,9.86328E-01
-1.9641360E-01,9.66797E-01
-1.9639512E-01,1.00586E+00
-1.9637664E-01,9.47266E-01
-1.9635816E-01,1.04492E+00
-1.9633968E-01,1.04492E+00
-1.9632120E-01,9.86328E-01
-1.9630272E-01,1.04492E+00
-1.9628424E-01,9.86328E-01
-1.9626576E-01,1.04492E+00
-1.9624728E-01,9.66797E-01
-1.9622880E-01,9.86328E-01
-1.9621032E-01,9.27734E-01
-1.9619184E-01,9.86328E-01
-1.9617336E-01,9.86328E-01
-1.9615488E-01,1.00586E+00
-1.9613640E-01,9.86328E-01
-1.9611792E-01,9.66797E-01
-1.9609944E-01,1.00586E+00
-1.9608096E-01,1.00586E+00
-1.9606248E-01,9.27734E-01
-1.9604400E-01,9.66797E-01
-1.9602552E-01,9.86328E-01
-1.9600704E-01,9.86328E-01
-1.9598856E-01,9.66797E-01
-1.9597008E-01,1.00586E+00
-1.9595160E-01,9.86328E-01
-1.9593312E-01,9.86328E-01
-1.9591464E-01,9.86328E-01
-1.9589616E-01,1.02539E+00
-1.9587768E-01,9.66797E-01
-1.9585920E-01,1.00586E+00
-1.9584072E-01,9.66797E-01
-1.9582224E-01,1.00586E+00
-1.9580376E-01,9.66797E-01
-1.9578528E-01,9.66797E-01
-1.9576680E-01,1.00586E+00
-1.9574832E-01,1.00586E+00
-1.9572984E-01,1.00586E+00
-1.9571136E-01,9.86328E-01
-1.9569288E-01,1.00586E+00
-1.9567440E-01,9.86328E-01
-1.9565592E-01,9.86328E-01
-1.9563744E-01,9.66797E-01
-1.9561896E-01,1.02539E+00
-1.9560048E-01,9.66797E-01
-1.9558200E-01,1.04492E+00
-1.9556352E-01,9.86328E-01
-1.9554504E-01,9.27734E-01
-1.9552656E-01,9.66797E-01
-1.9550808E-01,9.86328E-01
-1.9548960E-01,1.00586E+00
-1.9547112E-01,9.47266E-01
-1.9545264E-01,9.47266E-01
-1.9543416E-01,9.66797E-01
-1.9541568E-01,1.00586E+00
-1.9539720E-01,9.66797E-01
-1.9537872E-01,1.00586E+00
-1.9536024E-01,1.00586E+00
-1.9534176E-01,1.02539E+00
-1.9532328E-01,1.04492E+00
-1.9530480E-01,9.86328E-01
-1.9528632E-01,9.66797E-01
-1.9526784E-01,1.04492E+00
-1.9524936E-01,9.66797E-01
-1.9523088E-01,1.00586E+00
-1.9521240E-01,9.86328E-01
-1.9519392E-01,1.00586E+00
-1.9517544E-01,1.00586E+00
-1.9515696E-01,9.86328E-01
-1.9513848E-01,9.47266E-01
-1.9512000E-01,1.02539E+00
-1.9510152E-01,9.66797E-01
-1.9508304E-01,9.86328E-01
-1.9506456E-01,9.47266E-01
-1.9504608E-01,1.02539E+00
-1.9502760E-01,9.66797E-01
-1.9500912E-01,9.86328E-01
-1.9499064E-01,1.00586E+00
-1.9497216E-01,9.66797E-01
-1.9495368E-01,9.86328E-01
-1.9493520E-01,9.66797E-01
-1.9491672E-01,1.00586E+00
-1.9489824E-01,9.47266E-01
-1.9487976E-01,9.47266E-01
-1.9486128E-01,1.08398E+00
-1.9484280E-01,9.86328E-01
-1.9482432E-01,1.00586E+00
-1.9480584E-01,9.66797E-01
-1.9478736E-01,1.00586E+00
-1.9476888E-01,1.02539E+00
-1.9475040E-01,9.66797E-01
-1.9473192E-01,9.86328E-01
-1.9471344E-01,9.27734E-01
-1.9469496E-01,9.86328E-01
-1.9467648E-01,1.02539E+00
-1.9465800E-01,9.66797E-01
-1.9463952E-01,9.66797E-01
-1.9462104E-01,9.86328E-01
-1.9460256E-01,9.86328E-01
-1.9458408E-01,9.47266E-01
-1.9456560E-01,9.86328E-01
-1.9454712E-01,9.86328E-01
-1.9452864E-01,1.00586E+00
-1.9451016E-01,9.27734E-01
-1.9449168E-01,1.00586E+00
-1.9447320E-01,9.86328E-01
-1.9445472E-01,1.04492E+00
-1.9443624E-01,1.00586E+00
-1.9441776E-01,9.86328E-01
-1.9439928E-01,9.66797E-01
-1.9438080E-01,1.00586E+00
-1.9436232E-01,9.86328E-01
-1.9434384E-01,9.86328E-01
-1.9432536E-01,9.86328E-01
-1.9430688E-01,1.04492E+00
-1.9428840E-01,9.47266E-01
-1.9426992E-01,9.66797E-01
-1.9425144E-01,8.88672E-01
-1.9423296E-01,9.86328E-01
-1.9421448E-01,9.47266E-01
-1.9419600E-01,9.86328E-01
-1.9417752E-01,9.66797E-01
-1.9415904E-01,9.86328E-01
-1.9414056E-01,9.47266E-01
-1.9412208E-01,9.86328E-01
-1.9410360E-01,9.86328E-01
-1.9408512E-01,9.66797E-01
-1.9406664E-01,9.66797E-01
-1.9404816E-01,1.04492E+00
-1.9402968E-01,9.66797E-01
-1.9401120E-01,9.86328E-01
-1.9399272E-01,9.86328E-01
-1.9397424E-01,1.00586E+00
-1.9395576E-01,1.00586E+00
-1.9393728E-01,1.02539E+00
-1.9391880E-01,9.66797E-01
-1.9390032E-01,1.00586E+00
-1.9388184E-01,1.04492E+00
-1.9386336E-01,9.66797E-01
-1.9384488E-01,9.47266E-01
-1.9382640E-01,9.27734E-01
-1.9380792E-01,9.86328E-01
-1.9378944E-01,9.86328E-01
-1.9377096E-01,9.86328E-01
-1.9375248E-01,1.00586E+00
-1.9373400E-01,1.00586E+00
-1.9371552E-01,9.47266E-01
-1.9369704E-01,8.88672E-01
-1.9367856E-01,1.00586E+00
-1.9366008E-01,9.66797E-01
-1.9364160E-01,9.86328E-01
-1.9362312E-01,9.47266E-01
-1.9360464E-01,9.86328E-01
-1.9358616E-01,9.86328E-01
-1.9356768E-01,1.02539E+00
-1.9354920E-01,1.00586E+00
-1.9353072E-01,1.00586E+00
-1.9351224E-01,9.47266E-01
-1.9349376E-01,9.66797E-01
-1.9347528E-01,9.86328E-01
-1.9345680E-01,9.66797E-01
-1.9343832E-01,9.86328E-01
-1.9341984E-01,1.02539E+00
-1.9340136E-01,1.00586E+00
-1.9338288E-01,9.86328E-01
-1.9336440E-01,9.66797E-01
-1.9334592E-01,9.66797E-01
-1.9332744E-01,9.66797E-01
-1.9330896E-01,1.00586E+00
-1.9329048E-01,1.00586E+00
-1.9327200E-01,9.86328E-01
-1.9325352E-01,9.27734E-01
-1.9323504E-01,9.47266E-01
-1.9321656E-01,9.86328E-01
-1.9319808E-01,1.00586E+00
-1.9317960E-01,1.00586E+00
-1.9316112E-01,9.86328E-01
-1.9314264E-01,1.04492E+00
-1.9312416E-01,1.00586E+00
-1.9310568E-01,9.66797E-01
-1.9308720E-01,1.04492E+00
-1.9306872E-01,1.08398E+00
-1.9305024E-01,9.47266E-01
-1.9303176E-01,9.66797E-01
-1.9301328E-01,1.04492E+00
-1.9299480E-01,1.00586E+00
-1.9297632E-01,9.86328E-01
-1.9295784E-01,9.66797E-01
-1.9293936E-01,1.00586E+00
-1.9292088E-01,9.66797E-01
-1.9290240E-01,9.86328E-01
-1.9288392E-01,1.00586E+00
-1.9286544E-01,1.00586E+00
-1.9284696E-01,9.66797E-01
-1.9282848E-01,9.86328E-01
-1.9281000E-01,1.00586E+00
-1.9279152E-01,1.00586E+00
-1.9277304E-01,9.47266E-01
-1.9275456E-01,1.00586E+00
-1.9273608E-01,9.47266E-01
-1.9271760E-01,9.47266E-01
-1.9269912E-01,1.00586E+00
-1.9268064E-01,1.04492E+00
-1.9266216E-01,1.04492E+00
-1.9264368E-01,1.00586E+00
-1.9262520E-01,1.00586E+00
-1.9260672E-01,9.66797E-01
-1.9258824E-01,1.02539E+00
-1.9256976E-01,1.00586E+00
-1.9255128E-01,1.00586E+00
