in s,C1 in V
-1.195752E-04,-1.56738E+00
-1.195728E-04,-1.58691E+00
-1.195704E-04,-1.56738E+00
-1.195680E-04,-1.54785E+00
-1.195656E-04,-1.52832E+00
-1.195632E-04,-1.53809E+00
-1.195608E-04,-1.53809E+00
-1.195584E-04,-1.57715E+00
-1.195560E-04,-1.57715E+00
-1.195536E-04,-1.56738E+00
-1.195512E-04,-1.54785E+00
-1.195488E-04,-1.58691E+00
-1.195464E-04,-1.56738E+00
-1.195440E-04,-1.54785E+00
-1.195416E-04,-1.56738E+00
-1.195392E-04,-1.54785E+00
-1.195368E-04,-1.53809E+00
-1.195344E-04,-1.55762E+00
-1.195320E-04,-1.57715E+00
-1.195296E-04,-1.54785E+00
-1.195272E-04,-1.57715E+00
-1.195248E-04,-1.60645E+00
-1.195224E-04,-1.53809E+00
-1.195200E-04,-1.56738E+00
-1.195176E-04,-1.54785E+00
-1.195152E-04,-1.54785E+00
-1.195128E-04,-1.55762E+00
-1.195104E-04,-1.56738E+00
-1.195080E-04,-1.56738E+00
-1.195056E-04,-1.57715E+00
-1.195032E-04,-1.55762E+00
-1.195008E-04,-1.56738E+00
-1.194984E-04,-1.58691E+00
-1.194960E-04,-1.53809E+00
-1.194936E-04,-1.55762E+00
-1.194912E-04,-1.56738E+00
-1.194888E-04,-1.53809E+00
-1.194864E-04,-1.56738E+00
-1.194840E-04,-1.56738E+00
-1.194816E-04,-1.54785E+00
-1.194792E-04,-1.56738E+00
-1.194768E-04,-1.54785E+00
-1.194744E-04,-1.53809E+00
-1.194720E-04,-1.57715E+00
-1.194696E-04,-1.54785E+00
-1.194672E-04,-1.58691E+00
-1.194648E-04,-1.55762E+00
-1.194624E-04,-1.54785E+00
-1.194600E-04,-1.56738E+00
-1.194576E-04,-1.52832E+00
-1.194552E-04,-1.54785E+00
-1.194528E-04,-1.55762E+00
-1.194504E-04,-1.57715E+00
-1.194480E-04,-1.59668E+00
-1.194456E-04,-1.56738E+00
-1.194432E-04,-1.55762E+00
-1.194408E-04,-1.56738E+00
-1.194384E-04,-1.54785E+00
-1.194360E-04,-1.59668E+00
-1.194336E-04,-1.56738E+00
-1.194312E-04,-1.53809E+00
-1.194288E-04,-1.56738E+00
-1.194264E-04,-1.59668E+00
-1.194240E-04,-1.56738E+00
-1.194216E-04,-1.55762E+00
-1.194192E-04,-1.56738E+00
-1.194168E-04,-1.56738E+00
-1.194144E-04,-1.57715E+00
-1.194120E-04,-1.53809E+00
-1.194096E-04,-1.55762E+00
-1.194072E-04,-1.54785E+00
-1.194048E-04,-1.57715E+00
-1.194024E-04,-1.53809E+00
-1.194000E-04,-1.56738E+00
-1.193976E-04,-1.58691E+00
-1.193952E-04,-1.56738E+00
-1.193928E-04,-1.52832E+00
-1.193904E-04,-1.56738E+00
-1.193880E-04,-1.54785E+00
-1.193856E-04,-1.55762E+00
-1.193832E-04,-1.52832E+00
-1.193808E-04,-1.54785E+00
-1.193784E-04,-1.54785E+00
-1.193760E-04,-1.51855E+00
-1.193736E-04,-1.54785E+00
-1.193712E-04,-1.55762E+00
-1.193688E-04,-1.54785E+00
-1.193664E-04,-1.55762E+00
-1.193640E-04,-1.56738E+00
-1.193616E-04,-1.55762E+00
-1.193592E-04,-1.55762E+00
-1.193568E-04,-1.54785E+00
-1.193544E-04,-1.57715E+00
-1.193520E-04,-1.54785E+00
-1.193496E-04,-1.55762E+00
-1.193472E-04,-1.57715E+00
-1.193448E-04,-1.55762E+00
-1.193424E-04,-1.55762E+00
-1.193400E-04,-1.56738E+00
-1.193376E-04,-1.55762E+00
-1.193352E-04,-1.53809E+00
-1.193328E-04,-1.58691E+00
-1.193304E-04,-1.56738E+00
-1.193280E-04,-1.55762E+00
-1.193256E-04,-1.57715E+00
-1.193232E-04,-1.54785E+00
-1.193208E-04,-1.55762E+00
-1.193184E-04,-1.56738E+00
-1.193160E-04,-1.57715E+00
-1.193136E-04,-1.53809E+00
-1.193112E-04,-1.56738E+00
-1.193088E-04,-1.55762E+00
-1.193064E-04,-1.57715E+00
-1.193040E-04,-1.56738E+00
-1.193016E-04,-1.52832E+00
-1.192992E-04,-1.55762E+00
-1.192968E-04,-1.56738E+00
-1.192944E-04,-1.54785E+00
-1.192920E-04,-1.53809E+00
-1.192896E-04,-1.58691E+00
-1.192872E-04,-1.53809E+00
-1.192848E-04,-1.51855E+00
-1.192824E-04,-1.58691E+00
-1.192800E-04,-1.55762E+00
-1.192776E-04,-1.55762E+00
-1.192752E-04,-1.55762E+00
-1.192728E-04,-1.55762E+00
-1.192704E-04,-1.56738E+00
-1.192680E-04,-1.53809E+00
-1.192656E-04,-1.51855E+00
-1.192632E-04,-1.56738E+00
-1.192608E-04,-1.56738E+00
-1.192584E-04,-1.55762E+00
-1.192560E-04,-1.57715E+00
-1.192536E-04,-1.53809E+00
-1.192512E-04,-1.54785E+00
-1.192488E-04,-1.56738E+00
-1.192464E-04,-1.54785E+00
-1.192440E-04,-1.56738E+00
-1.192416E-04,-1.53809E+00
-1.192392E-04,-1.56738E+00
-1.192368E-04,-1.56738E+00
-1.192344E-04,-1.55762E+00
-1.192320E-04,-1.54785E+00
-1.192296E-04,-1.57715E+00
-1.192272E-04,-1.55762E+00
-1.192248E-04,-1.56738E+00
-1.192224E-04,-1.56738E+00
-1.192200E-04,-1.54785E+00
-1.192176E-04,-1.52832E+00
-1.192152E-04,-1.57715E+00
-1.192128E-04,-1.54785E+00
-1.192104E-04,-1.58691E+00
-1.192080E-04,-1.53809E+00
-1.192056E-04,-1.56738E+00
-1.192032E-04,-1.54785E+00
-1.192008E-04,-1.57715E+00
-1.191984E-04,-1.58691E+00
-1.191960E-04,-1.56738E+00
-1.191936E-04,-1.56738E+00
-1.191912E-04,-1.53809E+00
-1.191888E-04,-1.53809E+00
-1.191864E-04,-1.56738E+00
-1.191840E-04,-1.56738E+00
-1.191816E-04,-1.53809E+00
-1.191792E-04,-1.56738E+00
-1.191768E-04,-1.55762E+00
-1.191744E-04,-1.54785E+00
-1.191720E-04,-1.53809E+00
-1.191696E-04,-1.53809E+00
-1.191672E-04,-1.53809E+00
-1.191648E-04,-1.55762E+00
-1.191624E-04,-1.51855E+00
-1.191600E-04,-1.53809E+00
-1.191576E-04,-1.53809E+00
-1.191552E-04,-1.57715E+00
-1.191528E-04,-1.53809E+00
-1.191504E-04,-1.57715E+00
-1.191480E-04,-1.53809E+00
-1.191456E-04,-1.55762E+00
-1.191432E-04,-1.55762E+00
-1.191408E-04,-1.53809E+00
-1.191384E-04,-1.51855E+00
-1.191360E-04,-1.55762E+00
-1.191336E-04,-1.53809E+00
-1.191312E-04,-1.55762E+00
-1.191288E-04,-1.52832E+00
-1.191264E-04,-1.53809E+00
-1.191240E-04,-1.55762E+00
-1.191216E-04,-1.53809E+00
-1.191192E-04,-1.51855E+00
-1.191168E-04,-1.51855E+00
-1.191144E-04,-1.53809E+00
-1.191120E-04,-1.56738E+00
-1.191096E-04,-1.53809E+00
-1.191072E-04,-1.53809E+00
-1.191048E-04,-1.53809E+00
-1.191024E-04,-1.54785E+00
-1.191000E-04,-1.55762E+00
-1.190976E-04,-1.54785E+00
-1.190952E-04,-1.53809E+00
-1.190928E-04,-1.55762E+00
-1.190904E-04,-1.53809E+00
-1.190880E-04,-1.55762E+00
-1.190856E-04,-1.50879E+00
-1.190832E-04,-1.56738E+00
-1.190808E-04,-1.54785E+00
-1.190784E-04,-1.53809E+00
-1.190760E-04,-1.53809E+00
-1.190736E-04,-1.57715E+00
-1.190712E-04,-1.54785E+00
-1.190688E-04,-1.55762E+00
-1.190664E-04,-1.54785E+00
-1.190640E-04,-1.56738E+00
-1.190616E-04,-1.56738E+00
-1.190592E-04,-1.54785E+00
-1.190568E-04,-1.54785E+00
-1.190544E-04,-1.53809E+00
-1.190520E-04,-1.50879E+00
-1.190496E-04,-1.56738E+00
-1.190472E-04,-1.56738E+00
-1.190448E-04,-1.53809E+00
-1.190424E-04,-1.54785E+00
-1.190400E-04,-1.53809E+00
-1.190376E-04,-1.53809E+00
-1.190352E-04,-1.54785E+00
-1.190328E-04,-1.54785E+00
-1.190304E-04,-1.55762E+00
-1.190280E-04,-1.56738E+00
-1.190256E-04,-1.55762E+00
-1.190232E-04,-1.50879E+00
-1.190208E-04,-1.56738E+00
-1.190184E-04,-1.55762E+00
-1.190160E-04,-1.53809E+00
-1.190136E-04,-1.53809E+00
-1.190112E-04,-1.53809E+00
-1.190088E-04,-1.57715E+00
-1.190064E-04,-1.56738E+00
-1.190040E-04,-1.57715E+00
-1.190016E-04,-1.53809E+00
-1.189992E-04,-1.52832E+00
-1.189968E-04,-1.54785E+00
-1.189944E-04,-1.53809E+00
-1.189920E-04,-1.55762E+00
