in s,C2 in V
-1.3162864E-03,7.69043E+00
-1.3162656E-03,7.69043E+00
-1.3162448E-03,7.69043E+00
-1.3162240E-03,7.64160E+00
-1.3162032E-03,7.69043E+00
-1.3161824E-03,7.73926E+00
-1.3161616E-03,7.69043E+00
-1.3161408E-03,7.73926E+00
-1.3161200E-03,7.83691E+00
-1.3160992E-03,7.73926E+00
-1.3160784E-03,7.93457E+00
-1.3160576E-03,7.69043E+00
-1.3160368E-03,7.69043E+00
-1.3160160E-03,7.69043E+00
-1.3159952E-03,7.83691E+00
-1.3159744E-03,7.69043E+00
-1.3159536E-03,7.49512E+00
-1.3159328E-03,7.78809E+00
-1.3159120E-03,7.83691E+00
-1.3158912E-03,7.83691E+00
-1.3158704E-03,7.69043E+00
-1.3158496E-03,7.73926E+00
-1.3158288E-03,7.83691E+00
-1.3158080E-03,7.88574E+00
-1.3157872E-03,7.73926E+00
-1.3157664E-03,7.98340E+00
-1.3157456E-03,7.73926E+00
-1.3157248E-03,7.73926E+00
-1.3157040E-03,7.73926E+00
-1.3156832E-03,7.83691E+00
-1.3156624E-03,7.69043E+00
-1.3156416E-03,7.73926E+00
-1.3156208E-03,7.69043E+00
-1.3156000E-03,7.69043E+00
-1.3155792E-03,7.64160E+00
-1.3155584E-03,7.69043E+00
-1.3155376E-03,7.59277E+00
-1.3155168E-03,7.83691E+00
-1.3154960E-03,7.69043E+00
-1.3154752E-03,7.73926E+00
-1.3154544E-03,7.59277E+00
-1.3154336E-03,7.78809E+00
-1.3154128E-03,7.83691E+00
-1.3153920E-03,7.78809E+00
-1.3153712E-03,7.59277E+00
-1.3153504E-03,7.78809E+00
-1.3153296E-03,7.88574E+00
-1.3153088E-03,7.78809E+00
-1.3152880E-03,7.69043E+00
-1.3152672E-03,7.73926E+00
-1.3152464E-03,7.88574E+00
-1.3152256E-03,7.78809E+00
-1.3152048E-03,7.83691E+00
-1.3151840E-03,7.83691E+00
-1.3151632E-03,7.83691E+00
-1.3151424E-03,7.73926E+00
-1.3151216E-03,7.73926E+00
-1.3151008E-03,7.88574E+00
-1.3150800E-03,7.88574E+00
-1.3150592E-03,7.69043E+00
-1.3150384E-03,7.59277E+00
-1.3150176E-03,7.78809E+00
-1.3149968E-03,7.83691E+00
-1.3149760E-03,7.78809E+00
-1.3149552E-03,7.69043E+00
-1.3149344E-03,7.73926E+00
-1.3149136E-03,7.69043E+00
-1.3148928E-03,7.69043E+00
-1.3148720E-03,7.73926E+00
-1.3148512E-03,7.73926E+00
-1.3148304E-03,7.83691E+00
-1.3148096E-03,7.73926E+00
-1.3147888E-03,7.59277E+00
-1.3147680E-03,7.83691E+00
-1.3147472E-03,7.73926E+00
-1.3147264E-03,7.88574E+00
-1.3147056E-03,7.73926E+00
-1.3146848E-03,7.78809E+00
-1.3146640E-03,7.64160E+00
-1.3146432E-03,7.69043E+00
-1.3146224E-03,7.54395E+00
-1.3146016E-03,7.78809E+00
-1.3145808E-03,7.88574E+00
-1.3145600E-03,7.64160E+00
-1.3145392E-03,7.59277E+00
-1.3145184E-03,7.73926E+00
-1.3144976E-03,7.78809E+00
-1.3144768E-03,7.78809E+00
-1.3144560E-03,7.69043E+00
-1.3144352E-03,7.78809E+00
-1.3144144E-03,7.69043E+00
-1.3143936E-03,7.83691E+00
-1.3143728E-03,7.64160E+00
-1.3143520E-03,7.69043E+00
-1.3143312E-03,7.69043E+00
-1.3143104E-03,7.59277E+00
-1.3142896E-03,7.78809E+00
-1.3142688E-03,7.73926E+00
-1.3142480E-03,7.64160E+00
-1.3142272E-03,7.78809E+00
-1.3142064E-03,7.69043E+00
-1.3141856E-03,7.73926E+00
-1.3141648E-03,7.78809E+00
-1.3141440E-03,7.83691E+00
-1.3141232E-03,7.73926E+00
-1.3141024E-03,7.83691E+00
-1.3140816E-03,7.93457E+00
-1.3140608E-03,7.69043E+00
-1.3140400E-03,7.69043E+00
-1.3140192E-03,7.64160E+00
-1.3139984E-03,7.83691E+00
-1.3139776E-03,7.83691E+00
-1.3139568E-03,7.64160E+00
-1.3139360E-03,7.69043E+00
-1.3139152E-03,7.69043E+00
-1.3138944E-03,7.73926E+00
-1.3138736E-03,7.73926E+00
-1.3138528E-03,7.83691E+00
-1.3138320E-03,7.69043E+00
-1.3138112E-03,7.83691E+00
-1.3137904E-03,7.73926E+00
-1.3137696E-03,7.69043E+00
-1.3137488E-03,7.69043E+00
-1.3137280E-03,7.83691E+00
-1.3137072E-03,7.69043E+00
-1.3136864E-03,7.78809E+00
-1.3136656E-03,7.73926E+00
-1.3136448E-03,7.73926E+00
-1.3136240E-03,7.78809E+00
-1.3136032E-03,7.78809E+00
-1.3135824E-03,7.64160E+00
-1.3135616E-03,7.59277E+00
-1.3135408E-03,7.69043E+00
-1.3135200E-03,7.73926E+00
-1.3134992E-03,7.78809E+00
-1.3134784E-03,7.69043E+00
-1.3134576E-03,7.73926E+00
-1.3134368E-03,7.73926E+00
-1.3134160E-03,7.69043E+00
-1.3133952E-03,7.73926E+00
-1.3133744E-03,7.59277E+00
-1.3133536E-03,7.78809E+00
-1.3133328E-03,7.88574E+00
-1.3133120E-03,7.83691E+00
-1.3132912E-03,7.49512E+00
-1.3132704E-03,7.83691E+00
-1.3132496E-03,7.73926E+00
-1.3132288E-03,7.88574E+00
-1.3132080E-03,7.69043E+00
-1.3131872E-03,7.73926E+00
-1.3131664E-03,7.78809E+00
-1.3131456E-03,7.59277E+00
-1.3131248E-03,7.73926E+00
-1.3131040E-03,7.73926E+00
-1.3130832E-03,7.69043E+00
-1.3130624E-03,7.83691E+00
-1.3130416E-03,7.69043E+00
-1.3130208E-03,7.59277E+00
-1.3130000E-03,7.69043E+00
-1.3129792E-03,7.83691E+00
-1.3129584E-03,7.59277E+00
-1.3129376E-03,7.78809E+00
-1.3129168E-03,7.78809E+00
-1.3128960E-03,7.69043E+00
-1.3128752E-03,7.78809E+00
-1.3128544E-03,7.59277E+00
-1.3128336E-03,7.73926E+00
-1.3128128E-03,7.69043E+00
-1.3127920E-03,7.73926E+00
-1.3127712E-03,7.93457E+00
-1.3127504E-03,7.73926E+00
-1.3127296E-03,7.78809E+00
-1.3127088E-03,7.78809E+00
-1.3126880E-03,7.69043E+00
-1.3126672E-03,7.88574E+00
-1.3126464E-03,7.83691E+00
-1.3126256E-03,7.69043E+00
-1.3126048E-03,7.78809E+00
-1.3125840E-03,7.78809E+00
-1.3125632E-03,7.73926E+00
-1.3125424E-03,7.83691E+00
-1.3125216E-03,7.69043E+00
-1.3125008E-03,7.83691E+00
-1.3124800E-03,7.64160E+00
-1.3124592E-03,7.88574E+00
-1.3124384E-03,7.59277E+00
-1.3124176E-03,7.83691E+00
-1.3123968E-03,7.73926E+00
-1.3123760E-03,7.64160E+00
-1.3123552E-03,7.64160E+00
-1.3123344E-03,7.64160E+00
-1.3123136E-03,7.59277E+00
-1.3122928E-03,7.69043E+00
-1.3122720E-03,7.83691E+00
-1.3122512E-03,7.69043E+00
-1.3122304E-03,7.59277E+00
-1.3122096E-03,7.78809E+00
-1.3121888E-03,7.88574E+00
-1.3121680E-03,8.03223E+00
-1.3121472E-03,7.69043E+00
-1.3121264E-03,7.64160E+00
-1.3121056E-03,7.73926E+00
-1.3120848E-03,7.88574E+00
-1.3120640E-03,7.88574E+00
-1.3120432E-03,7.73926E+00
-1.3120224E-03,7.73926E+00
-1.3120016E-03,7.83691E+00
-1.3119808E-03,7.83691E+00
-1.3119600E-03,7.64160E+00
-1.3119392E-03,7.78809E+00
